,audiocap_id,youtube_id,start_time,caption
1,91139,r1nicOVtvkQ,130,A woman talks nearby as water pours
2,58146,UDGBjjwyaqE,20,Multiple clanging and clanking sounds
3,11542,3eJ9RynJzP8,80,"The wind is blowing, insects are singing, and rustling occurs"
4,11543,3eK62q7SnVU,390,The wind is blowing and rustling occurs
5,11540,3eGXNIadwGk,30,Person is whistling
6,11546,3eNWJ4Hle6Y,210,The sizzling of food while a dish is clanking
7,11544,3eL37ZUN5S4,21,Aircraft engine hum with man and woman speaking
8,11545,3eN7ujFJzXQ,170,Hissing followed by clanking dishes and speech
9,89379,pgl_pG7j7d8,170,A man talks nearby as water pours out of a faucet
10,11548,3eSIVCoTR2I,210,Crackling noise precedes a fly buzzing
11,11549,3eZrNSkyUmA,30,A dog whimpers quietly
12,5988,1OIVJfQTGVk,30,Engine revving loudly
13,5989,1OIm8vLHCwo,19,An adult female speaks and a cat meows
14,19399,77gagnj481E,30,Child giving a speech and crowd clapping
15,19398,77fnehVF7wE,1,A dog barks twice and then whimpers
16,5982,1O662rM-u0E,30,A whoosh sound is heard loudly as a car revs its engines
17,5980,1O2vHreD6eI,60,"A motor vehicle engine is running, a decelerating buzzing occurs, mechanical whines occur, and the motor vehicle engine accelerates"
18,5986,1OCyUeuv2-Q,40,Men speaking then sneezing
19,5987,1OI6GPNHhLg,30,A man speaks slowly and with strength
20,5984,1OB2TC-aAqY,30,A horse galloping
21,5985,1OCv1wCGK-s,30,"A child screams, an adult male is talking and vehicles are revving"
22,97479,vvbK4KaEOTc,30,Humming of an engine accelerating and revving
23,49688,OWhT0Gs-_q8,30,Several explosions burst nearby as people grunt loudly
24,31736,DJVEiFFUB6g,250,A woman talks while frying something
25,88391,oxs8A0Cdwwc,30,Crashing waves and a gust of wind
26,46139,MDoHzN4CYYg,11,Humming and vibrating of a motor
27,53631,R8pcOO_A2uE,0,Someone whistles nearby
28,97152,vfbOX5T8YDk,30,Steam hissing as a train runs slowly on railroad tracks as gears crank and rumble
29,28561,Bals78LmH5w,150,Children speak and laugh with a man
30,54544,RmJE9uVdgAk,23,A man yelling and ducks in the background
31,19972,7PFt6ML7enY,50,A child cries and yells and an adult speaks in response
32,274,-64ZmjOBlE8,20,Water being turned on and off
33,275,-65gZY_yF3o,17,Helicopter rotors drumming and squeaking bird
34,278,-68677bCJWM,16,Distressed cat growling and hissing violently while woman laughs and talks
35,16707,5sfQQb6HpSc,210,A whistle and another man speaks and the whistling stops.
36,16706,5seYj-vSnEc,140,"Two men exchange words, then a car engine revs followed by a siren and fade in music"
37,16700,5sTt2AMCjSA,30,A car is racing away very fast and its tires squeal a little
38,16702,5sXK2pdYAwg,20,A woman hiccups and then women laugh and speak
